id,name,description,slug,price,discounted_price,currency,brand,category,image_url,image_alt,in_stock,stock_quantity,wix_id
7a7366a5-7ff0-451d-af54-bb45b851acbd,Ultra Suede Sculpting Lip Pencil,"The Ultra Suede Sculpting Lip Pencil defines and shapes lips with a smooth, creamy matte formula that feels comfortable all day. Its lip-lock technology prevents feathering, keeping your look precise and long-lasting. A built-in brush blends color seamlessly for a polished, sophisticated finish.",jeffree-star-cosmetics-velour-lip-liner-copy-2,0.00,20.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_41.png?v=1758500613,Ultra Suede Sculpting Lip Pencil,false,,
d0eadbb0-55f9-4063-909c-6c2375c5e509,Vault Radiance Setting Powder,"A weightless, ultra-fine loose powder that perfects and sets your makeup with a soft matte or radiant finish. The silky texture blurs the look of pores and fine lines while controlling shine—without ever feeling dry or cakey. Infused with vitamins C and E plus oil-absorbing minerals, it keeps your complexion smooth, fresh, and photo-ready from day to night. Available in multiple shades for every skin tone. Net Wt: 10 g / 0.35 oz",vault-radiance-setting-powder,15.00,22.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/fe41dade-563f-4c11-98a1-3f8c86b94d0d.png?v=1758465045,Vault Radiance Setting Powder,true,,
c67c3cd6-d080-4bb9-9105-20e8cd19b2c0,Lipstick,"Indulge in rich, full-coverage color with a single swipe. This luxurious lipstick glides on smoothly, wrapping lips in a lightweight, velvety-matte finish that feels as soft as it looks. The creamy formula delivers bold pigment without dryness—just long-lasting comfort and a touch of everyday glam.",lipstick,20.00,22.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/velvettrap.png?v=1758436172,Lipstick,true,,
5bcc21f1-ca75-42c2-b7eb-440a8ae021dd,Liquid Lipstick,"Lipstick delivers rich color with a matte finish that lasts for hours. This long-wearing formula stays fully opaque while keeping your lips comfortable and bold throughout the day.",jeffree-star-velour-liquid-lipstick-copy,19.00,22.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/7d815fae-df2f-445c-b755-ef93f76cb1d6.png?v=1758424113,Liquid Lipstick,true,,
a34b0b9a-8125-4436-b544-8c7cd5632b82,Floral-Vanilla Perfume,"A sophisticated floral fragrance in a sleek 1.18 fl oz travel-size spray, perfect for effortless application anytime. Its concentrated formula ensures a lasting scent, while its compact design offers elegance and convenience for those on the move. Expertly crafted in the United Arab Emirates, Yara combines portability with timeless refinement, making it an ideal addition to any boxed set or travel collection.",yara-eau-de-parfum,9.00,10.00,USD,The Beauty Vault,Fragrance,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_1.png?v=1758466831,Floral-Vanilla Perfume,true,,
8d430f38-ed09-4082-b37d-b232c4dc026b,Stay Put Brow Sculpturing Glue,"Stay Put Brow Sculpturing Glue offers precision brow control with a lightweight, non-flaking formula that sculpts and sets brows for a lasting lamination effect. Designed for expert use, it enhances fullness and maintains a structured, flawless finish throughout the day, ensuring your brows stay perfectly in place without stiffness or residue.",stay-put-brow-sculpturing-glue,6.00,6.99,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/3e931a18-baa1-48cf-a7cc-aead679f4d67.png?v=1758437833,Stay Put Brow Sculpturing Glue,true,,
112aebad-7e51-4e30-a5ed-85601c7e320e,Plumping Liquid Lipstick,"Plumping Liquid Lipstick combines intense pigment with a unique plumping formula to enhance your lips' fullness while delivering a rich, glossy application that dries to a smooth, matte finish. Designed for comfortable wear, this liquid lipstick provides long-lasting color and a velvety texture that keeps your lips looking defined and lush throughout the day. Ideal for those seeking a bold, sophisticated lip look with the added benefit of noticeable plumping.",buxom-full-on-plumping-liquid-lipstick,22.00,26.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/8c352601-9014-4961-9528-0753ba7a451f.png?v=1758434140,Plumping Liquid Lipstick,true,,
771f96f9-1760-49cf-a3a4-cbf37cc7ef3a,Glow Play Cushiony Blush,"Delivers a lightweight, cushiony texture that blends effortlessly for a natural, radiant flush. Its ultra-smooth formula allows precise application with fingers or a brush, enhancing your complexion with a subtle yet luminous hint of color. Ideal for adding a fresh, dewy glow, this blush supports a professional, polished look with ease.",mac-glow-play-cushiony-blush,21.00,23.80,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/297ae71a-5a7b-4908-b7f6-9eb8e62e8785.png?v=1758437686,Glow Play Cushiony Blush,true,,
57c08bfe-3878-4d89-86b0-8ab23e89746c,Lip Kit,"This best-selling matte lip kit delivers a complete lip routine with a liquid lipstick and matching lip liner, both formulated for long-lasting wear. These highly pigmented products offer full coverage and an 8+ hour smudge-resistant finish, ensuring your matte look stays flawless throughout the day.",matte-lip-kit-2-piece,24.00,26.50,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/b8cf0279-2f00-4597-84e9-d7766bb88024.png?v=1758438894,Lip Kit,true,,
f1879be4-55d3-4be8-b1ed-8e4b2c1fc912,Eau de Parfum Nectar,"Experience the elegance of Eau de Parfum Nectar, a sophisticated fragrance crafted for the modern woman. This long-lasting perfume delicately blends fresh bergamot with luminous jasmine and warm vanilla, creating a fresh and floral scent that embodies confidence and grace. Perfect for any occasion, it leaves a subtle yet unforgettable trail that enhances your presence throughout the day.",idole-eau-de-parfum-nectar,26.00,34.00,USD,The Beauty Vault,Fragrance,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/idole_travel.png?v=1758466247,Eau de Parfum Nectar,true,,
aaa9101f-be47-49f3-bf45-56d84083d77a,Primer,"Primer is your skin's new best friend! This travel-sized, silicone-free lotion calms redness and locks in moisture, giving you a fresh, natural glow. It keeps your makeup happy and in place all day—because flawless skin should be fun and easy!",youthforia-pregame-primer,32.00,38.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_4.png?v=1758471860,Primer,true,,
32bd0b1c-8d9e-4426-a281-635bd5c03614,Glow Gloss Bomb Universal Lip Luminizer,"Get ready to shine bright with Gloss Bomb Universal Lip Luminizer! This lip gloss delivers explosive shine that feels just as amazing as it looks, making it the perfect finishing touch to any look. Lightweight and irresistibly glossy, it's your go-to for lips that dazzle and delight all day long. Add a pop of glow and let your smile steal the spotlight!",jeffree-star-cosmetics-velour-liquid-lipstick-copy,19.99,22.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_5.png?v=1758473396,Glow Gloss Bomb Universal Lip Luminizer,true,,
7e5ea34b-fa6a-4924-a87b-318d7c8915a2,Extreme Pigment Eye Pencil,"Achieve striking, defined eyes with the Extreme Pigment Eye Pencil. Its creamy texture glides smoothly without tugging or irritating the skin, delivering rich, long-lasting color that enhances your lash lines effortlessly. This vegan and gluten-free formula allows for precise application when sharpened, or a softened, smoky effect when smudged, perfect for elegant, versatile eye looks.",jeffree-star-cosmetics-velour-lip-liner-copy,18.00,20.00,USD,The Beauty Vault,Makeup,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_7.png?v=1758474563,Extreme Pigment Eye Pencil,true,,