handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,customTextField1,customTextCharLimit1,customTextMandatory1
,Product,Ultra Suede Sculpting Lip Pencil,The Ultra Suede Sculpting Lip Pencil defines and shapes lips with a smooth creamy matte formula that feels comfortable all day. Its lip-lock technology prevents feathering keeping your look precise and long-lasting.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_41.png?v=1758500613,Makeup,,New,20.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Loose Translucent Setting Powder,A weightless ultra-fine loose powder that perfects and sets your makeup with a soft matte or radiant finish. The silky texture blurs pores and fine lines while controlling shine. Infused with vitamins C and E plus oil-absorbing minerals.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-28T100452.113_220ca1fe-312d-456a-850d-a1a5587c86ad.png?v=1758500684,Makeup,,,26.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Moisture Matte Longwear Lipstick,A richly pigmented lipstick that delivers bold saturated color with a soft velvety-matte finish. The creamy formula glides on effortlessly and locks in lasting moisture for comfortable all-day wear.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_13.png?v=1758500687,Makeup,,,22.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Velvet Blur Soft Focus Foundation,A luxuriously soft weightless foundation that blurs imperfections and creates a smooth airbrushed finish. Its velvety texture melts into skin delivering buildable medium-to-full coverage that feels breathable and looks naturally radiant all day.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_800_x_800_px_5_e9ca0f05-e90a-4203-97b7-0a1199a35e02.png?v=1758500688,Makeup,,,42.00,,TRUE,PERCENT,0,infinite,0.3,,,,,,
,Product,Velvet Trap Liquid Lipstick,A high-impact liquid lipstick that delivers intense velvety color with a lightweight long-wearing formula. Glides on smoothly and dries to a soft-focus matte finish that stays put without feathering or fading.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/velvettrap.png?v=1758500690,Makeup,,,19.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Lip Pencil,A creamy precision lip liner that defines and shapes with ease. The smooth formula glides on effortlessly to prevent feathering and enhance the natural contour of your lips for a polished long-lasting look.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_design_-_2025-09-28T214835.058.png?v=1758500692,Makeup,,,15.00,,TRUE,PERCENT,0,infinite,0.05,,,,,,
,Product,Velour Lip Liner,An ultra-creamy lip liner that glides on like velvet delivering precise definition and rich color. Its velvety texture prevents feathering and enhances lip shape for a flawless finish that lasts all day.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_7.png?v=1758500698,Makeup,,,18.00,,TRUE,PERCENT,0,infinite,0.05,,,,,,
,Product,Lip Injection Extreme Lip Plumper,An advanced lip plumper that delivers instant and long-term volume with a tingly cooling sensation. Infused with powerful peptides and hyaluronic acid it visibly enhances fullness while keeping lips hydrated and smooth.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-30T181303.941.png?v=1758500700,Lip Care,,,28.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Better Than Sex Volumizing & Lengthening Mascara,A cult-favorite mascara that delivers dramatic volume and incredible length with every swipe. The hourglass-shaped brush coats each lash from root to tip creating a full bold look that lasts all day without smudging or flaking.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-27T124409.163.png?v=1758500701,Makeup,,,29.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,All-In-One Luxe Sponge,A versatile multi-use beauty sponge designed to blend seamlessly for a flawless airbrushed finish. Its ultra-soft texture and unique shape work perfectly with liquids creams and powders giving you professional-quality results every time.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitled_design_62.png?v=1758500702,Tools & Brushes,,,12.00,,TRUE,PERCENT,0,infinite,0.05,,,,,,
,Product,Idôle Aura Eau de Parfum Travel Spray,A captivating floral fragrance that radiates confidence and femininity. This travel-friendly spray features luminous notes of rose paired with a sophisticated blend of fresh florals and warm musks creating an aura of modern elegance wherever you go.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/idole_travel.png?v=1758500704,Fragrance,,,48.00,,TRUE,PERCENT,0,infinite,0.15,,,,,,
,Product,Benefit Brow Microfilling Eyebrow Pen,A precision eyebrow pen with an ultra-fine tip that mimics natural hair strokes filling in sparse areas for fuller-looking brows. The long-lasting waterproof formula ensures your brows stay defined and flawless all day.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/benefitbrow.png?v=1758500706,Makeup,,,27.00,,TRUE,PERCENT,0,infinite,0.05,,,,,,
,Product,Born To Run Eyeshadow Palette,A high-performance eyeshadow palette packed with richly pigmented shades in a mix of mattes shimmers and metallics. Designed for versatility and staying power this palette lets you create endless eye looks from soft neutrals to bold dramatic statements.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_1.png?v=1758500707,Makeup,,,54.00,,TRUE,PERCENT,0,infinite,0.3,,,,,,
,Product,Tinted Serum Foundation,A lightweight skin-perfecting serum foundation that combines skincare benefits with natural-looking coverage. Infused with hydrating ingredients it evens out skin tone while nourishing and protecting for a fresh healthy glow.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/SERUMTEINTE_73.png?v=1758500709,Makeup,,,52.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Vanilla Woods Fine Fragrance Mist,A warm and inviting body mist that blends creamy vanilla with earthy woods and a touch of soft musk. This long-lasting fragrance mist refreshes and scents your skin with a cozy comforting aroma perfect for everyday wear.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-24T182903.163-Copy.png?v=1758500710,Fragrance,,,16.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Realizing Things Hair Spray,A flexible hold hairspray that keeps your style in place without stiffness or crunch. Perfect for adding texture and volume this lightweight formula brushes out easily and resists humidity for all-day confidence.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/realizingthings.png?v=1758500711,Hair Care,,,29.00,,TRUE,PERCENT,0,infinite,0.3,,,,,,
,Product,Glazed Donut Skin Sheer Glow Serum,A nourishing serum that delivers a luminous glazed-donut glow to your skin. Infused with hydrating ingredients and light-reflecting pearls it smooths and brightens while giving you that coveted dewy radiant finish.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/glazeddonut.png?v=1758500713,Skin Care,,,38.00,,TRUE,PERCENT,0,infinite,0.15,,,,,,
,Product,Top Tier Hair Smoothing Treatment,A professional-grade smoothing treatment that transforms frizzy unruly hair into sleek glossy strands. This intensive formula deeply nourishes and repairs while locking in moisture for long-lasting smoothness and shine.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/TOPTIER.png?v=1758500714,Hair Care,,,64.00,,TRUE,PERCENT,0,infinite,0.4,,,,,,
,Product,Dramatically Different Moisturizing Gel,A lightweight oil-free gel moisturizer that hydrates and strengthens skin without feeling heavy or greasy. Formulated for all skin types it absorbs quickly leaving skin soft smooth and balanced with a healthy radiant look.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/CliniqueGel.png?v=1758500715,Skin Care,,,32.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Air Brush Flawless Finish Setting Powder,An ultra-fine translucent powder that sets makeup with an airbrushed photo-ready finish. The lightweight formula blurs imperfections and smooths skin texture while controlling shine for a flawless look that lasts all day.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-27T184220.611.png?v=1758500716,Makeup,,,46.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Gloss Bomb Universal Lip Luminizer Fussy,A universally flattering lip gloss that delivers explosive shine and a subtle plumping effect. The non-sticky formula glides on smoothly with a peach-vanilla scent leaving lips looking fuller glossier and irresistibly kissable.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-27T181407.294.png?v=1758500718,Makeup,,,20.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Laguna Bronzing Powder,A cult-classic bronzing powder that delivers a sun-kissed glow with a silky blendable formula. The warm golden tone adds natural-looking warmth and dimension to your complexion for a radiant healthy finish.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/nars.png?v=1758500719,Makeup,,,42.00,,TRUE,PERCENT,0,infinite,0.15,,,,,,
,Product,Delsol 40 SPF 40 Sunscreen Spray,A fast-absorbing sunscreen spray that provides broad-spectrum SPF 40 protection against harmful UVA and UVB rays. The lightweight non-greasy formula goes on clear and dries quickly making sun protection effortless for everyday wear.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/delsol40.png?v=1758500720,Skin Care,,,18.00,,TRUE,PERCENT,0,infinite,0.25,,,,,,
,Product,Maracuja Juicy Lip Plump,A hydrating lip treatment infused with maracuja oil that delivers a subtle plumping effect and nourishing shine. The juicy formula smooths and conditions lips while giving them a fuller more luscious appearance.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-27T173914.748.png?v=1758500721,Lip Care,,,24.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Miracle Balm Multi-Purpose Balm,A versatile multi-use balm that hydrates and soothes skin wherever you need it. Perfect for lips cheeks cuticles and dry patches this nourishing formula delivers instant moisture and a healthy natural glow.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-27T170759.315.png?v=1758500722,Skin Care,,,22.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Lift & Snatch Eyebrow Tint Pen,A precision brow pen with a micro-fine tip designed to create hair-like strokes for naturally fuller brows. The long-lasting tinted formula lifts and defines giving you a snatched sculpted look that stays put all day.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-27T123322.286.png?v=1758500724,Makeup,,,18.00,,TRUE,PERCENT,0,infinite,0.05,,,,,,
,Product,Flawless Finish Weightless Powder Foundation,A finely milled powder foundation that delivers seamless buildable coverage with a natural matte finish. The lightweight formula blurs imperfections and evens skin tone without feeling heavy or cakey giving you a flawless airbrushed look.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-27T112231.124.png?v=1758500725,Makeup,,,48.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Boy Brow Volumizing Eyebrow Pomade,A cult-favorite brow pomade that tames grooms and volumizes brows in one easy step. The creamy wax-gel formula adds natural-looking fullness and hold keeping every hair in place for polished feathery brows that last all day.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-26T204644.172.png?v=1758500726,Makeup,,,18.00,,TRUE,PERCENT,0,infinite,0.05,,,,,,
,Product,Honey Infused Hair Fragrance Mist,A lightweight hair mist infused with honey and floral notes that leaves your hair smelling sweet and fresh all day. This nourishing formula also adds a subtle shine without weighing hair down.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-26T161711.140.png?v=1758500728,Hair Care,,,24.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Thousand Wishes Fine Fragrance Mist,A sparkling fruity-floral body mist with notes of pink prosecco sparkling quince and crystal peonies. This enchanting fragrance refreshes and lightly scents your skin making every moment feel like a celebration.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-25T185500.873.png?v=1758500729,Fragrance,,,16.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Into The Night Fine Fragrance Mist,A bold and mysterious body mist featuring dark berries midnight blooms and rich amber. This captivating scent wraps you in an alluring veil of fragrance perfect for evening wear and making a lasting impression.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-25T183518.735.png?v=1758500730,Fragrance,,,16.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,A Thousand Wishes Travel Size Body Lotion,A rich creamy body lotion infused with the sparkling scent of pink prosecco and crystal peonies. This travel-friendly formula deeply moisturizes and softens skin while leaving behind a light enchanting fragrance.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-25T181921.158.png?v=1758500731,Body Care,,,8.00,,TRUE,PERCENT,0,infinite,0.15,,,,,,
,Product,Gingham Fine Fragrance Mist,A fresh clean scent with notes of blue freesia sweet clementine and soft musk. This bright and airy body mist captures the essence of a sunny day delivering a crisp refreshing fragrance that lasts for hours.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-24T190640.441.png?v=1758500732,Fragrance,,,16.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Japanese Cherry Blossom Fine Fragrance Mist,An iconic floral fragrance featuring delicate cherry blossoms Asian pear and sandalwood. This beloved body mist delivers a fresh romantic scent that transports you to a blooming spring garden with every spritz.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign-2025-09-24T182755.556-Copy.png?v=1758500733,Fragrance,,,16.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,Cheek Heat Gel-Cream Blush,A lightweight gel-cream blush that melts into skin for a natural sun-kissed flush. The buildable formula blends seamlessly delivering a soft dewy finish that looks like you're glowing from within.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_98.png?v=1758500735,Makeup,,,32.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Precision Pore Cleansing Pad,Gentle exfoliating pads infused with pore-refining ingredients that sweep away dead skin cells and impurities. These easy-to-use pads help minimize the appearance of pores leaving skin smoother brighter and refreshed.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_97.png?v=1758500736,Skin Care,,,28.00,,TRUE,PERCENT,0,infinite,0.15,,,,,,
,Product,Full Exposure Volumizing Mascara,A high-impact mascara that delivers maximum volume and dramatic length. The unique brush coats every lash with rich pigment creating bold full lashes that won't clump smudge or flake throughout the day.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_94.png?v=1758500737,Makeup,,,26.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Cheekleaders Mini Cheek Palette,A versatile mini cheek palette featuring blush bronzer and highlighter shades. These finely milled powders blend effortlessly to add dimension warmth and a radiant glow to your complexion.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_92.png?v=1758500738,Makeup,,,36.00,,TRUE,PERCENT,0,infinite,0.15,,,,,,
,Product,Major Volume Mascara,A mascara that delivers serious volume and length with a lightweight buildable formula. The oversized brush coats every lash evenly creating bold dramatic eyes that stay flake-free all day.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_91.png?v=1758500739,Makeup,,,24.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Sugar Tinted Lip Treatment Sunscreen SPF 15,A nourishing tinted lip balm that hydrates and protects lips with SPF 15. The sheer sugar-infused formula delivers a hint of color and a glossy finish while keeping lips soft smooth and shielded from the sun.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_89.png?v=1758500740,Lip Care,,,26.00,,TRUE,PERCENT,0,infinite,0.05,,,,,,
,Product,Jet Lag Rehydrating Face Mask,An ultra-hydrating sheet mask designed to revive tired dull skin. Infused with moisture-boosting ingredients this mask instantly refreshes and plumps your complexion leaving you with a healthy dewy glow.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_88.png?v=1758500741,Skin Care,,,8.00,,TRUE,PERCENT,0,infinite,0.05,,,,,,
,Product,Faux Filter Luminous Matte Foundation,A full-coverage foundation that delivers a flawless filtered finish with a luminous matte effect. The lightweight formula blurs imperfections and evens skin tone while staying put for up to 12 hours without oxidizing.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_80.png?v=1758500742,Makeup,,,38.00,,TRUE,PERCENT,0,infinite,0.25,,,,,,
,Product,The Everything Shower Whipped Body Scrub,A luxurious whipped body scrub that exfoliates and nourishes skin in one indulgent step. This creamy formula buffs away dead skin cells while moisturizing leaving your skin silky smooth and glowing.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_74.png?v=1758500744,Body Care,,,22.00,,TRUE,PERCENT,0,infinite,0.3,,,,,,
,Product,Luminous Silk Foundation,A weightless foundation that delivers a natural luminous finish with buildable medium coverage. Infused with light-reflecting pigments it smooths and perfects skin while maintaining a fresh breathable feel all day.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_70.png?v=1758500745,Makeup,,,64.00,,TRUE,PERCENT,0,infinite,0.3,,,,,,
,Product,Bum Bum Jet Set Travel-Size Body Cream,A fast-absorbing body cream with a warm pistachio and salted caramel scent. This travel-friendly formula deeply hydrates and visibly smooths skin while leaving behind the signature Brazilian Bum Bum fragrance.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_65.png?v=1758500746,Body Care,,,18.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Brazilian Bum Bum Hair & Body Fragrance Mist,A luxurious hair and body mist featuring the iconic Brazilian Bum Bum scent of pistachio salted caramel and vanilla. This lightweight spray refreshes and lightly scents your hair and skin with an irresistible warm fragrance.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_64.png?v=1758500747,Fragrance,,,24.00,,TRUE,PERCENT,0,infinite,0.2,,,,,,
,Product,One Size Complexion Brush,A versatile foundation brush with densely packed synthetic bristles designed for seamless blending. This professional-quality brush works with liquid cream and powder formulas to achieve an airbrushed flawless finish.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_49.png?v=1758500748,Tools & Brushes,,,32.00,,TRUE,PERCENT,0,infinite,0.1,,,,,,
,Product,Cheeky Blush Brush,A soft fluffy brush designed for effortless blush application. The angled shape allows for precise placement and smooth blending delivering a natural-looking flush to the cheeks.,https://cdn.shopify.com/s/files/1/0766/5254/4213/files/Untitleddesign_47.png?v=1758500749,Tools & Brushes,,,24.00,,TRUE,PERCENT,0,infinite,0.08,,,,,,
